"20230802_2_cs channel 1, False events, cuts False"
L [ch],S[ch]
64981.99999999997,0.4042657966821582
34914.59999999997,0.42172329054321156
29629.999999999953,0.43233209584880244
74846.79999999999,0.4081523859403476
64180.40000000004,0.4151843865105232
102121.19999999994,0.40004034421843865
88561.60000000006,0.4022827049195133
51637.399999999994,0.40320968910131033
49115.00000000001,0.42081848722386245
51438.60000000005,0.40010420190285084
49205.80000000007,0.413099675241536
35243.39999999994,0.43387414381132394
57635.59999999999,0.38425556426930585
60106.19999999995,0.3961338430977174
20191.600000000035,0.40657005883634734
103458.00000000003,0.4015107579887488
103531.99999999997,0.40684039717188913
101147.20000000003,0.41678464653495106
95610.19999999995,0.42082957676063865
41658.20000000002,0.41082187900581374
80989.79999999997,0.4329113048803676
43641.0,0.43575995050525884
91239.40000000004,0.39861287996194605
13293.000000000024,0.4223651545926421
16191.600000000057,0.43521332048716505
28058.80000000003,0.40382696337690827
27656.399999999958,0.37641196974298935
67660.59999999998,0.4133469109053127
83981.20000000001,0.39685191447609697
83415.59999999996,0.41566325723246034
105235.59999999998,0.4061439284804764
29070.400000000038,0.4260588089603166
40730.59999999997,0.43869474056360597
56897.79999999999,0.4016657937565251
12079.200000000043,0.44838234320153525
91405.0,0.4047262184782014
91602.60000000005,0.40902004964924565
66761.79999999997,0.4296229280816277
52855.79999999998,0.4176911521535954
31285.400000000038,0.41742154487396643
91205.20000000001,0.40725857736181703
65840.80000000006,0.41586523857547264
38083.59999999996,0.3897163083321958
106785.80000000005,0.4089298389860823
17575.79999999996,0.47249058364341967
92937.20000000001,0.4162337578493864
91306.99999999999,0.40281687055756943
51679.59999999996,0.3823520305884724
91066.99999999999,0.40388944403570987
41537.20000000002,0.3947088393054898
77240.0,0.3997863801139306
16952.000000000047,0.41307810287871544
47028.60000000005,0.4012196833416258
32306.799999999996,0.3864790075154457
137559.4,0.3996433540710414
49916.19999999997,0.3966367632151489
320256.3999999999,0.40678874801565257
38466.40000000004,0.4306667637210653
46182.20000000001,0.38679621152738475
89158.20000000003,0.3944460520737296
210357.40000000005,0.4113104649515538
26252.199999999997,0.3803338386878053
110755.40000000004,0.41590929200743243
19206.599999999984,0.3943852633990401
61103.00000000003,0.42317071174901394
49242.60000000006,0.39967020425403993
46126.00000000001,0.42445692234314714
119728.80000000006,0.4086101255504105
50799.200000000026,0.3921341280965054
55434.40000000001,0.4014420648550358
23510.800000000003,0.4062983820201779
104930.80000000005,0.4257463013719517
21473.199999999946,0.46998584281802536
76886.59999999998,0.40666774184318216
21386.600000000057,0.4278753986140848
43752.80000000003,0.412405606041213
67020.39999999995,0.41662986195248036
81959.40000000004,0.394984589931112
99277.79999999997,0.416990505430217
61797.59999999999,0.4052390384092587
20580.399999999965,0.35617383529960583
75254.79999999999,0.40645114995986975
9301.199999999948,0.3587279060766365
65683.80000000005,0.40709276868877836
20969.39999999999,0.4325207206691658
83027.19999999992,0.39855734024512474
87660.79999999997,0.4300485507775425
63576.40000000001,0.40807123397990447
52304.80000000005,0.4053624141570177
48750.99999999999,0.3866997600049229
51885.79999999999,0.4083853385704762
32245.60000000001,0.404002406529883
13356.600000000057,0.4136756360151523
72307.60000000005,0.4022924284584191
25062.19999999997,0.3810958335660878
166182.59999999998,0.4201450693393894
99840.59999999999,0.40744747126920305
83642.79999999999,0.4227727909634781
52539.99999999999,0.4140369242481918
98406.19999999994,0.4176931941280124
92390.0,0.41364866327524624
86548.59999999996,0.39618549577925005
29098.399999999958,0.3930181728204991
3644.8000000000284,0.5460930640913048
12579.200000000043,0.40921521241414294
79724.00000000001,0.39052857357884707
73321.99999999999,0.4029690952238074
47872.200000000026,0.4067099485714046
40330.60000000006,0.4129445135951359
24643.20000000004,0.405856382288014
33162.79999999997,0.3723720554356088
48325.600000000006,0.3899651530451768
93293.20000000003,0.3965358675659105
86851.80000000008,0.41686412947112184
71500.59999999998,0.40378402419000675
74581.39999999995,0.4045070218579969
40021.00000000001,0.4067114764748508
99073.99999999999,0.42026162262551214
28754.999999999953,0.3744566162406543
61030.19999999995,0.421235716088101
70482.00000000001,0.42234896853097237
83760.19999999994,0.4039161797607936
83790.80000000008,0.4198062317104023
45549.0,0.40567301148214013
16962.400000000038,0.44122294014997804
37256.60000000006,0.41017698877514286
23364.599999999962,0.37975398680054484
54739.799999999974,0.3922356311130111
19047.20000000002,0.4844334075349652
49089.80000000007,0.40915628093819845
19787.0,0.4243948046697327
66795.40000000004,0.40875868697545015
34324.000000000015,0.3946218389465097
40788.60000000006,0.4023991997764078
71068.80000000005,0.4003641541717319
88679.59999999996,0.40939855389514634
73955.79999999999,0.405159568282677
15248.60000000001,0.3205409021156038
22933.399999999943,0.4338737387391322
106834.59999999998,0.3945098310846863
110442.19999999995,0.4048597365861963
63409.19999999995,0.4172911817212648
35887.39999999994,0.40870054670998773
92714.19999999994,0.4104128601659726
62739.60000000006,0.40686902689848176
23675.999999999953,0.4196443656022984
65578.79999999997,0.3891181296394568
91215.59999999998,0.4068141852928669
40309.399999999994,0.4209365557413408
97158.39999999994,0.4073471773927939
35853.40000000003,0.41963105312187926
86261.40000000004,0.4127767460300899
41473.20000000002,0.41663290992737456
81351.59999999998,0.396160616386156
66307.40000000004,0.41751297743539906
78622.60000000006,0.4017012919949224
75840.39999999994,0.4202074356147913
25099.800000000054,0.3908756245069675
22254.800000000054,0.3938880601038869
51684.79999999999,0.40086060118255296
71649.39999999994,0.4228604845260395
110473.40000000004,0.41412864997365867
50284.00000000003,0.431061570280805
